#IID	age	sex	PC1	PC2	PC3	PC4	PC5
SIM0001	69.02803380	0	-0.0383862	-0.0333657	0.0155923	-0.0148426	0.064983
SIM0002	68.41311684	0	0.0435202	0.0697956	0.0253487	0.0362376	-0.0373743
SIM0003	55.89239711	1	-0.040556	0.069604	-0.0162552	0.00503269	-0.0226559
SIM0004	74.90537450	0	0.0383246	0.00591701	-0.0151045	-0.0400546	0.0146059
SIM0005	70.78896367	1	-0.0384196	-0.101293	-0.011494	-0.0453288	0.0928144
SIM0006	42.60399186	0	0.0423154	-0.0823682	-0.140644	-0.069063	0.00207758
SIM0007	65.17560431	1	-0.0384719	-0.0626355	-0.0474706	0.0108982	0.0187737
SIM0008	41.26560936	1	0.0334694	-0.040823	0.0746218	0.0189	-0.0796874
SIM0009	32.83688328	1	-0.0399152	0.0507858	0.0279842	-0.00766726	0.0303835
SIM0010	66.37365212	1	0.0400352	0.0450854	-0.0643325	-0.149524	-0.0427853
SIM0011	30.47812974	0	-0.0359535	-0.0208651	-0.0487263	-0.104415	0.0384667
SIM0012	54.49096761	1	0.0461724	0.103936	0.0351634	0.0233847	0.0185831
SIM0013	31.24104220	1	-0.0388275	0.00108358	0.0161095	-0.0471079	0.00700066
SIM0014	35.88498950	0	0.0322828	-0.0366815	-0.0396385	-0.0367787	-0.0472552
SIM0015	68.03173387	1	-0.0418571	0.00411386	-0.00180404	-0.0203547	0.000490163
SIM0016	41.81638913	0	0.033795	-0.000704165	0.0251395	-0.0588539	0.0477502
SIM0017	34.11090585	0	-0.0365623	-0.0115537	-0.0298669	0.0362655	-0.00776004
SIM0018	67.69668818	0	0.0498398	-0.0238882	-0.0219328	-0.0864139	-0.0274203
SIM0019	39.47346433	1	-0.0392658	0.0204812	-0.0493904	0.0867467	-0.032744
SIM0020	36.76591836	1	0.0414336	0.0698388	0.0357924	-0.0597531	0.0231837
SIM0021	56.40450260	0	-0.0398802	0.0611525	-0.0013586	-0.0124036	0.0386813
SIM0022	49.87023200	0	0.0370016	0.0082653	0.00524983	-0.0410261	-0.0426411
SIM0023	38.91322894	0	-0.0469281	-0.00662694	0.00936285	-0.0494923	-0.0214911
SIM0024	36.21972228	0	0.0385738	-0.094988	-0.000291519	0.0381358	-0.109234
SIM0025	52.31184680	1	-0.0392697	-0.00906927	0.0254974	-0.0392765	0.0353967
SIM0026	74.63989090	1	0.0364265	-0.0629447	-0.0319987	-0.051721	0.0792221
SIM0027	28.24220343	1	-0.0387102	0.017737	0.0623146	-0.0380557	0.000816409
SIM0028	32.83381730	1	0.041335	0.0042546	-0.0690089	0.0349578	0.0118385
SIM0029	31.45449580	0	-0.0430785	-0.00696304	-0.0502313	-0.0247758	0.0171118
SIM0030	57.29625359	1	0.0424551	0.0838155	0.017978	-0.10862	0.00771892
SIM0031	32.93862533	1	-0.040578	0.0430462	0.0471695	0.0448665	-0.0146156
SIM0032	43.89852221	0	0.042072	0.0151722	-0.0325083	-0.0825334	0.000767676
SIM0033	45.94723965	0	-0.0452528	-0.0308461	-0.0206922	-0.0854591	-0.00723289
SIM0034	28.01054527	1	0.034361	-0.0658647	0.0124128	-0.0130869	-0.0156798
SIM0035	38.72505408	1	-0.0433967	-0.0121942	-0.00226869	0.0109067	-0.0389328
SIM0036	52.35777134	1	0.0413084	-0.023826	-0.0652706	-0.0189122	0.0281587
SIM0037	33.22551223	0	-0.0412303	0.0714888	-0.00879462	0.0391823	-0.0272162
SIM0038	26.88223306	1	0.0345228	0.0845447	-0.000655322	-0.0804042	-0.00651191
SIM0039	52.91909748	0	-0.0372571	0.0130377	0.0157503	0.0296733	0.0021015
SIM0040	51.88616818	1	0.0394234	-0.0338124	0.00764169	0.0420546	-0.0228576
SIM0041	62.78884300	1	-0.0334989	0.0990927	-0.00737038	0.0331351	-0.00410167
SIM0042	31.86661790	1	0.0412396	0.115791	-0.0372094	-0.0646554	0.0772281
SIM0043	26.38272713	0	-0.0381671	-0.024691	0.00786143	-0.0277507	0.0334796
SIM0044	33.24283538	0	0.0434289	0.046811	0.00878332	-0.0311968	-0.0453235
SIM0045	50.31139132	1	-0.0370396	0.046335	-0.014026	0.0477497	-0.012599
SIM0046	27.90273243	1	0.0428621	0.00927915	-0.0466994	0.0522964	0.0471113
SIM0047	45.79370846	0	-0.0440808	0.00393249	0.0217474	-0.0404933	-0.0171478
SIM0048	56.03448558	1	0.0417186	-0.0111044	0.00867723	0.0566408	-0.0109808
SIM0049	65.14577487	0	-0.0419749	0.0478734	0.0458309	-0.031609	-0.024981
SIM0050	40.97914943	1	0.039449	-0.0120412	-0.0502055	0.0332307	-0.00452665
SIM0051	39.91539959	0	-0.0345947	-0.0125401	-0.0422308	0.0492809	0.0313902
SIM0052	47.39894504	1	0.051036	0.0124306	0.0132226	-0.0623041	-0.0338283
SIM0053	30.97009238	1	-0.0482547	-0.0408771	0.0362481	0.0295728	-0.0158877
SIM0054	46.77189991	0	0.042637	-0.026064	0.0413727	-0.00910546	0.0673926
SIM0055	40.67036387	1	-0.0425166	0.00645086	0.0312581	-0.0406308	-0.0425323
SIM0056	47.46109621	0	0.0372113	0.0253956	0.0964378	-0.00318397	0.0114886
SIM0057	37.25718984	1	-0.0388888	0.00889208	0.0220537	0.0453054	0.0175034
SIM0058	74.82478617	0	0.0426562	-0.0767189	-0.0687525	0.0448284	-0.0687832
SIM0059	47.69704337	0	-0.0410723	0.00129242	0.0140145	-0.00712228	-0.0367663
SIM0060	62.76032455	0	0.0445222	-0.0301018	0.026529	-0.015431	-0.0291999
SIM0061	64.06375789	0	-0.0397783	0.0224183	-0.0146675	-0.0134688	0.0223332
SIM0062	26.92431778	1	0.0440401	0.00984785	0.013294	-0.119956	0.0298345
SIM0063	43.17478322	0	-0.0415213	0.0388839	-0.00224015	-0.0249255	0.0661151
SIM0064	70.29060870	1	0.0487715	-0.149119	-0.00675786	0.00613125	-0.0294049
SIM0065	46.07605985	1	-0.040615	-0.0575752	0.0938062	-0.00763091	0.0212302
SIM0066	61.20109768	1	0.0317392	-0.0506629	-0.0670656	-0.0554273	-0.0202569
SIM0067	59.90160978	0	-0.0457461	-0.00677933	0.00148996	-0.0195373	0.0638043
SIM0068	43.32965408	0	0.0373017	-0.00185955	0.000183168	-0.0337506	-0.0322369
SIM0069	50.09589591	1	-0.0395736	0.00673348	0.0448032	-0.00174133	0.0403136
SIM0070	57.75200631	0	0.0403115	-0.0386461	-0.031165	-0.033557	-0.0638387
SIM0071	29.90128140	1	-0.0470442	0.0266472	-0.00373231	-0.0191056	0.0333109
SIM0072	25.42133978	0	0.0391201	-0.0350539	-0.0396216	0.0458436	-0.078799
SIM0073	48.26459730	0	-0.0484326	0.0559777	-0.0117484	0.058312	0.0443271
SIM0074	47.40910550	1	0.0432965	0.0512764	-0.0601166	-0.0388627	0.0349327
SIM0075	41.27199843	0	-0.0408571	-0.00424057	-0.0572086	-0.00251539	-0.00832187
SIM0076	47.84775020	0	0.0436488	0.0458659	-0.0445368	-0.033383	3.91588e-05
SIM0077	34.39522009	0	-0.0314307	-0.0471063	-0.00518581	-0.00924638	0.0742881
SIM0078	62.94936983	0	0.0504769	-0.00602747	-0.0235298	0.0774786	0.015586
SIM0079	43.79827103	1	-0.0321212	0.0052023	0.0547883	-0.0940377	0.0282734
SIM0080	74.35503089	0	0.0373661	0.0323978	0.00229336	-0.0325405	-0.0191969
SIM0081	55.21412302	0	-0.0398107	0.0103609	-0.0053028	0.0116669	0.00381866
SIM0082	40.46627752	0	0.0429876	0.00938766	0.0407231	-0.0204034	0.06474
SIM0083	65.12507955	0	-0.0401372	0.0263009	0.0498541	-0.0110624	-0.0353938
SIM0084	31.58452779	1	0.0421234	-0.00578268	0.0472708	-0.0248976	-0.0992677
SIM0085	47.72693995	1	-0.043571	-0.0435029	0.0618709	-0.0132533	0.0355418
SIM0086	64.11037607	1	0.0396895	-0.0036062	0.0870319	0.0175642	-0.0201458
SIM0087	53.30989686	0	-0.0393762	-0.0600879	-0.0511108	0.0151803	0.0259291
SIM0088	59.48392644	0	0.0492928	-0.0308736	0.0676698	0.0367867	-0.00132091
SIM0089	57.76787353	1	-0.0432898	-0.00366994	0.0689313	-0.0617696	0.0167414
SIM0090	64.71705785	0	0.0413997	0.136465	-0.0113232	0.054056	-0.0319557
SIM0091	40.73861275	0	-0.0405987	-0.0222233	0.054507	-0.00374797	-0.0182914
SIM0092	42.81724482	1	0.0393906	-0.0265089	0.00770632	0.0268561	0.0291748
SIM0093	67.48084509	0	-0.0464972	-0.00119382	-0.0321389	-0.0117264	-0.000668176
SIM0094	33.37161962	0	0.0424167	-0.0311296	0.00776379	0.0282114	-0.029201
SIM0095	71.59329373	1	-0.0361739	0.0482939	0.0367491	-0.00786477	0.0427295
SIM0096	73.66986527	1	0.0432497	-0.0612464	-0.0580916	0.0639323	0.0539631
SIM0097	60.59766289	0	-0.0400839	0.0431538	-0.0163714	0.00560415	0.0287627
SIM0098	38.86780715	1	0.0500658	0.0219776	-0.0403312	-0.0462664	-0.00285078
SIM0099	36.20355022	1	-0.0353212	-0.0339177	-0.00481145	0.053948	-0.0467479
SIM0100	28.85847367	0	0.0471333	0.0215682	0.0413716	0.00443617	0.0515569
SIM0101	66.46462216	1	-0.0420749	-0.0306829	-0.00551231	0.0590679	0.0221999
SIM0102	47.15318235	0	0.041053	0.0117208	-0.00530514	-0.020511	0.0275041
